customer_id,name,dob,email,phone
1,Jessica Lewis,1990-08-31,cooperelizabeth@yahoo.com,+1-775-582-2837x7173
2,Susan Sawyer,1990-05-29,snowanne@hotmail.com,(498)577-9658x1552
3,Nathan Palmer,1968-01-19,brenda67@hotmail.com,001-263-111-1405x255
4,Ashley Moore,1993-01-15,nicholasgomez@owens.org,001-346-469-9085x86322
5,Robert Miller,1965-08-08,john67@saunders.com,001-310-902-5878x361
6,Chad Arnold,1980-03-18,robertchristian@yahoo.com,+1-081-498-9544x50118
7,Erin Gordon,1965-05-23,jillmcdaniel@gmail.com,(651)368-4964
8,Kathy Becker,1960-01-17,wellscorey@rivera.org,586-653-7102
9,Frank York,1956-07-22,ffields@gmail.com,948.340.2756x94636
10,Patricia Wilson,1968-10-05,gabrielharris@williams-obrien.net,+1-329-240-8390
11,Elizabeth Rodriguez,1980-07-02,renee66@morris-graham.com,297-498-7036
12,Mr. Luis Best,2007-08-12,knightjordan@gmail.com,855-274-8309x3836
13,Jeffery Thompson,1966-07-10,lopezandrew@gmail.com,305-944-7912x230
14,Michael Welch,1973-05-23,manuel56@gmail.com,+1-448-766-9209x8099
15,Emily Meza,1964-09-14,joshuadavis@yahoo.com,2374178111
16,Natasha Wood,1978-10-02,brettjames@dawson-brown.com,945-266-1973x236
17,Casey Rogers,1984-06-28,jenniferwells@alvarado.com,(052)693-5140x1816
18,Alisha Davis,1958-06-28,sonyacampos@hotmail.com,180-647-8040x04702
19,Joshua Martin,1997-04-25,kellydiana@reilly-perez.net,(384)902-0902x4370
20,Eric Barton,1974-08-15,dlloyd@yahoo.com,129-157-6637
21,Tiffany Jones,1967-11-19,jamie52@miller.com,(521)009-7203
22,Karen Willis,1978-11-03,ywilliams@yahoo.com,790.797.7209x785
23,Brandy Thomas,1977-06-15,joshuamoreno@bradley-meyer.com,639-701-8634x77513
24,Julia Perez,1963-02-20,perezkayla@taylor.org,+1-570-958-0766x201
25,Kelly Smith,1968-12-21,jessica31@west.org,211.386.6461
26,Rachael Craig,1983-04-08,thomasgutierrez@gmail.com,2796645352
27,Teresa Mann,1977-05-07,brandonrivera@hotmail.com,331-284-8096x7379
28,Luis Owen,1960-12-16,vrichard@yahoo.com,348-784-5591
29,Chris Harrison,1954-09-26,jonescrystal@gonzalez.info,3803565218
30,Christopher Cruz,1970-01-06,cindy64@yahoo.com,(103)134-1443
31,Martin Small,1981-06-15,kelleybrandon@gonzalez.biz,+1-810-556-5071
32,Justin Weeks,2000-11-27,andreavelazquez@gmail.com,050-028-9108x03030
33,Debbie Blanchard,1965-08-25,omcdowell@hotmail.com,(188)501-7418x46423
34,Angelica White,1974-07-13,marco46@yahoo.com,272-395-3439x84499
35,Dana Mendoza,1977-08-20,brianbanks@lawrence.com,(115)749-3895x7470
36,Casey Campbell,1965-11-07,brandon78@young-richardson.com,298-125-7200x773
37,Kristine Valentine,1971-10-13,shaun41@yahoo.com,303.754.4648x864
38,Jennifer Beltran,1984-10-29,michelle37@peters-aguilar.com,001-129-958-1654x4304
39,Rhonda Bradford,1966-05-28,lopezbrittany@yahoo.com,+1-965-752-4568x899
40,Jeremy Robertson,1975-11-12,kleindenise@hotmail.com,181.497.5818x393
41,Kristine Carlson,1996-04-02,rachelduffy@parker-buchanan.biz,+1-170-149-3662x7557
42,Christina Blackburn,1977-02-13,rodney52@hotmail.com,(847)013-7693x615
43,Lawrence Keller,2007-01-18,garciacrystal@jordan.com,001-390-068-1384
44,Michael Chan,1999-03-17,jordanmaureen@andersen-ross.com,572-840-1714x7255
45,Ronald Wright,1969-05-13,bharris@cannon-ward.net,388-730-1977
46,Donna Crosby,1966-01-09,rlarsen@hotmail.com,640.851.1930
47,Joseph Perez,1983-07-22,kimberlyleonard@gmail.com,730.802.1881x42299
48,Bailey Miller,2000-04-22,jessica84@hotmail.com,059-048-8456
49,Andrew Ramsey,1996-08-22,brianhunter@brown-davis.info,(916)232-1186x23858
50,Timothy Davis,2003-12-30,tmoore@yahoo.com,+1-722-686-9937x081
51,Paul Torres,1959-09-08,brentnelson@smith-lamb.org,+1-762-958-5907
52,Aaron Carney,1970-12-30,stewartmegan@gmail.com,(023)650-1291
53,Adam Reyes,1982-03-31,potterian@reed.info,1177506528
54,George Fry,1992-07-17,halemargaret@hotmail.com,600-521-8496
55,Megan Horne,1954-10-07,smithdonald@ellis.com,956.672.9390x749
56,Miguel Gibson,2006-03-09,diazgregg@gmail.com,306-223-5873x228
57,Crystal Dean,1993-07-10,umoran@yahoo.com,580-621-8858
